Player ID,National Team,Debut Date,Games Played,Goals Scored
1015825,Schweiz U15,03.05.2022,2,-
1015766,Schweiz U15,24.05.2022,2,-
1015826,Schweiz U15,03.05.2022,1,-
765506,Schweiz U15,24.05.2022,2,-
1015812,Schweiz U17,15.08.2023,7,-
1015812,Schweiz U16,15.09.2022,4,-
1015812,Schweiz U15,03.05.2022,2,-
1015759,Schweiz U15,24.05.2022,2,-
1015809,Schweden U17,31.08.2023,8,-
1015809,Schweiz U16,13.09.2022,6,-
1015809,Schweiz U15,03.05.2022,2,-
1015819,Schweiz U16,13.09.2022,1,-
1015819,Schweiz U15,03.05.2022,2,-
1015764,Schweiz U15,24.05.2022,2,-
1015772,Schweiz U18,04.09.2024,5,-
1015772,Schweiz U15,24.05.2022,2,-
1015828,Schweiz U17,15.08.2023,10,2
1015828,Schweiz U16,13.09.2022,11,2
1015828,Schweiz U15,03.05.2022,2,1
1015765,Schweiz U15,24.05.2022,2,-
1015767,Schweiz U15,24.05.2022,2,-
1015827,Schweiz U15,03.05.2022,2,-
1015769,Schweiz U15,24.05.2022,2,-
1015808,Schweiz U18,04.09.2024,3,-
1015808,Schweiz U17,12.09.2023,9,1
1015808,Schweiz U16,13.09.2022,12,1
1015808,Schweiz U15,03.05.2022,2,-
1015770,Schweiz U15,24.05.2022,2,-
1015763,Schweiz U18,12.10.2024,2,-
1015763,Schweiz U15,24.05.2022,2,-
1015815,Schweiz U18,12.10.2024,2,-
1015815,Schweiz U16,15.02.2023,7,3
1015815,Schweiz U15,03.05.2022,2,2
1015771,Schweiz U15,24.05.2022,2,-
1015810,Schweiz U18,04.09.2024,5,2
1015810,Schweiz U17,15.08.2023,12,4
1015810,Schweiz U16,13.09.2022,10,5
1015810,Schweiz U15,03.05.2022,2,1
1015760,Schweiz U15,24.05.2022,2,2
1015829,Schweiz U18,12.10.2024,2,-
1015829,Schweiz U17,14.02.2024,5,1
1015829,Schweiz U16,13.09.2022,8,2
1015829,Schweiz U15,03.05.2022,2,-
1015758,Schweiz U15,24.05.2022,2,-
1015818,Schweiz U18,06.09.2024,2,-
1015818,Schweiz U17,15.08.2023,2,-
1015818,Schweiz U15,03.05.2022,2,-
678840,Schweiz U18,-,-,-
678840,Schweiz U15,07.05.2019,2,-
724393,Schweiz U19,19.05.2022,1,-
724393,Schweiz U15,17.04.2019,1,-
604817,Schweiz U20,24.03.2023,2,-
604817,Schweiz U19,26.04.2022,7,-
604817,Schweiz U18,01.09.2021,4,-
604817,Schweiz U16,22.10.2019,1,-
604817,Schweiz U15,16.04.2019,2,-
679239,Schweiz U18,05.09.2021,1,-
679239,Schweiz U16,24.09.2019,1,-
679239,Schweiz U15,08.05.2019,1,-
667458,Schweiz U20,06.09.2024,2,-
667458,Schweiz U19,26.04.2022,8,-
667458,Schweiz U18,01.09.2021,5,-
667458,Schweiz U16,22.10.2019,2,-
667458,Schweiz U15,16.04.2019,2,-
667469,Schweiz U16,24.09.2019,3,-
667469,Schweiz U15,16.04.2019,4,-
667462,Schweiz U19,26.04.2022,7,-
667462,Schweiz U18,03.09.2021,4,-
667462,Schweiz U16,24.09.2019,4,-
667462,Schweiz U15,16.04.2019,4,1
679217,Schweiz U15,07.05.2019,2,-
659313,Schweiz U20,06.09.2024,2,-
659313,Schweiz U19,26.04.2022,7,-
659313,Schweiz U18,25.03.2022,2,-
659313,Schweiz U16,24.09.2019,3,-
659313,Schweiz U15,16.04.2019,4,-
678843,Schweiz U20,06.09.2024,2,-
678843,Schweiz U19,17.05.2022,5,-
678843,Schweiz U18,03.09.2021,4,-
678843,Schweiz U16,26.09.2019,1,-
678843,Schweiz U15,07.05.2019,4,-
679240,Schweiz U15,07.05.2019,2,-
679219,Schweiz U18,01.09.2021,2,-
679219,Schweiz U15,07.05.2019,2,-
659326,Kosovo U21,-,-,-
659326,Kosovo U19,17.11.2022,3,-
659326,Schweiz U16,22.10.2019,2,-
659326,Schweiz U15,21.05.2019,2,-
667468,Schweiz U16,24.09.2019,4,-
667468,Schweiz U15,16.04.2019,4,-
678841,Schweiz U16,-,-,-
678841,Schweiz U15,07.05.2019,2,-
667457,Schweiz U21,26.03.2024,4,-
667457,Schweiz U19,17.05.2022,5,-
667457,Schweiz U18,01.09.2021,4,1
667457,Schweiz U16,26.09.2019,3,-
667457,Schweiz U15,16.04.2019,4,-
678845,Schweiz U19,20.10.2022,1,-
678845,Schweiz U18,01.09.2021,2,-
