Player ID,National Team,Debut Date,Games Played,Goals Scored,National Team ID
61150,Schweiz U17,23.08.2006,3,-,23140
61150,Schweiz U16,22.03.2006,3,-,28155
69896,Schweiz U19,-,-,-,19429
69896,Schweiz U18,-,-,-,22998
69896,Schweiz U17,20.09.2006,3,-,23140
86790,Schweiz U21,-,-,-,9534
86790,Schweiz U20,12.08.2009,3,-,16817
86790,Schweiz U19,06.09.2008,12,-,19429
86790,Schweiz U18,12.09.2007,4,-,22998
86790,Schweiz U17,21.08.2006,6,-,23140
86790,Schweiz U16,27.09.2005,5,-,28155
87268,Schweiz,11.08.2010,5,-,3384
87268,Schweiz U21,04.09.2009,17,2,9534
87268,Schweiz U19,21.07.2009,3,-,19429
87268,Schweiz U18,24.09.2008,2,-,22998
87268,Schweiz U17,-,-,-,23140
87268,Schweiz U16,-,-,-,28155
87268,Schweiz Olympia,01.08.2012,1,-,53823
68278,Schweiz U20,-,-,-,16817
68278,Schweiz U19,30.03.2009,5,1,19429
128459,Schweiz U19,-,1,-,19429
88423,Schweiz U19,09.09.2008,1,1,19429
88423,Schweiz U18,12.03.2008,2,-,22998
66037,Schweiz,-,-,-,3384
66037,Schweiz U21,04.09.2009,25,1,9534
66037,Schweiz U19,06.09.2008,14,-,19429
66037,Schweiz U17,24.08.2007,14,-,23140
66037,Schweiz U16,27.09.2006,8,-,28155
52590,Venezuela,16.11.2011,27,-,3504
52590,Schweiz U21,19.11.2008,12,-,9534
52590,Schweiz U20,25.03.2011,2,-,16817
52590,Schweiz U19,23.04.2008,14,-,19429
52590,Schweiz U18,12.09.2007,3,-,22998
52590,Schweiz U17,21.08.2006,10,-,23140
52590,Schweiz U16,25.04.2006,3,-,28155
74741,Schweiz U20,06.09.2010,6,1,16817
74741,Schweiz U19,02.09.2009,4,1,19429
74741,Schweiz U17,02.10.2007,2,-,23140
58165,Schweiz,26.05.2012,2,-,3384
58165,Schweiz U21,30.05.2010,12,-,9534
58165,Schweiz U20,12.08.2009,8,-,16817
58165,Schweiz U19,-,9,2,19429
58165,Schweiz U18,12.09.2007,4,-,22998
58165,Schweiz U17,-,8,-,23140
58165,Schweiz Olympia,29.07.2012,2,-,53823
56324,Albanien,14.08.2013,1,-,3561
56324,Schweiz U21,10.11.2011,3,-,9534
56324,Schweiz U20,12.08.2009,6,-,16817
56324,Schweiz U19,06.09.2008,11,3,19429
56324,Schweiz U18,26.03.2008,1,-,22998
56324,Schweiz U17,01.03.2007,3,-,23140
66005,Albanien,14.08.2013,50,1,3561
66005,Schweiz U21,03.03.2010,18,-,9534
66005,Schweiz U20,12.08.2009,5,-,16817
66005,Schweiz U19,06.09.2008,15,2,19429
66005,Schweiz U18,12.03.2008,2,-,22998
66005,Schweiz Olympia,26.07.2012,3,-,53823
52137,Schweiz U20,12.08.2009,2,-,16817
52137,Schweiz U19,06.09.2008,14,1,19429
52137,Schweiz U18,12.09.2007,4,-,22998
52137,Schweiz U17,23.08.2006,9,1,23140
52137,Schweiz U16,27.09.2005,7,-,28155
65518,Schweiz U21,10.08.2011,6,1,9534
65518,Schweiz U20,12.08.2009,5,-,16817
65518,Schweiz U19,26.11.2008,5,1,19429
52559,Schweiz U20,12.08.2009,8,2,16817
52559,Schweiz U19,08.10.2007,15,5,19429
52559,Schweiz U18,12.09.2007,1,-,22998
52559,Schweiz U17,21.08.2006,11,3,23140
52559,Schweiz U16,27.09.2005,3,-,28155
107784,Schweiz U20,09.10.2011,1,-,16817
107784,Schweiz U19,11.11.2009,2,-,19429
47528,Schweiz,15.11.2014,2,-,3384
47528,Schweiz U21,08.09.2007,4,-,9534
47528,Schweiz U20,12.08.2009,4,2,16817
47528,Schweiz U19,21.08.2007,18,3,19429
47528,Schweiz U17,20.09.2006,8,2,23140
47528,Schweiz U16,01.11.2005,5,1,28155
52744,Schweiz U21,12.08.2009,10,-,9534
52744,Schweiz U20,17.11.2010,3,1,16817
52744,Schweiz U19,09.09.2008,11,3,19429
52744,Schweiz U18,23.10.2007,3,-,22998
47607,Schweiz U20,12.08.2009,3,1,16817
