Player ID,Player Name,First Similar Player,Similarity Score 1,Second Similar Player,Similarity Score 2,Third Similar Player,Similarity Score 3
862738,Bleon Xhemaili,Fabian Rieder,0.42369224231940794,Johan Vonlanthen,0.3835449193381211,Alain Wiss,0.36119247654499154
862739,Yuro Bohon Diet,François Affolter,0.5601764324127588,Philippe Senderos,0.5554498161924877,Silvan Widmer,0.5149712140574851
862744,Junior Ligue,Admir Mehmedi,0.7635135066345128,Josip Drmic,0.7188724430067142,Rubén Vargas,0.5011960689685244
862745,Julio Fonseca,Josip Drmic,0.5842222693330041,Valentin Stocker,0.5746150291934151,Admir Mehmedi,0.5659225238411228
862746,Samuel Krasniqi,Admir Mehmedi,0.6896395753778523,Josip Drmic,0.6610928075616116,Valentin Stocker,0.5504487413898951
862748,Silas Huber,Signori Antonio,0.8483673372486185,Pajtim Kasami,0.01672311614109955,Ricardo Rodríguez,0.002005706627041766
863748,Julius Holder,Admir Mehmedi,0.6106057813023018,Josip Drmic,0.5950890204012458,Valentin Stocker,0.5833596976527473
863749,Moaed El Jaouzy,Admir Mehmedi,0.587153138866577,Valentin Stocker,0.5866952651881027,Josip Drmic,0.5824979434842719
863759,Bruno Ogbus,François Affolter,0.8221827909541372,Ricardo Rodríguez,0.5457991630611188,Philippe Senderos,0.5166991852223767
864371,Jashar Dema,Fabian Rieder,0.4132435047222728,Johan Vonlanthen,0.4107592049312791,Alain Wiss,0.4012802899589014
864381,Lorenzo Bittarelli,Philippe Senderos,0.5619510675970288,François Affolter,0.5555648587424392,Silvan Widmer,0.5260372723286656
864383,Mathis Giordano,Admir Mehmedi,0.69388443442145,Josip Drmic,0.6720407155916867,Valentin Stocker,0.5489784379388291
865986,Mattia Walker,Fabian Rieder,0.45577523502237294,Alain Wiss,0.4464005558947379,Kastriot Imeri,0.4443125794137097
866284,Mohsen Abdeljaoued,Fabian Rieder,0.5808244355581095,Alain Wiss,0.5609256364865165,Kastriot Imeri,0.5582940058054534
866285,Hugo Parra,Admir Mehmedi,0.6862090148323252,Josip Drmic,0.6435701861011027,Valentin Stocker,0.5192701100069594
866287,Erion Salihu,Alain Wiss,0.5537156658655574,Kastriot Imeri,0.5521250388407274,Ardon Jashari,0.5495960606349533
867589,Samuel Marques,Fabian Rieder,0.5223709123059674,Alain Wiss,0.4678306388647985,Kastriot Imeri,0.46619469875127667
870270,Kevin Krasniqi,Admir Mehmedi,0.6396536490935167,Josip Drmic,0.5941730067737109,Rubén Vargas,0.5629039084232279
889768,Tim Hostettler,François Affolter,0.5655150396473411,Philipp Degen,0.5220112232513071,Philippe Senderos,0.5014871987157482
894261,Maxime Rouiller,Signori Antonio,0.8792287232529703,Granit Xhaka,-0.024679061299314076,Pajtim Kasami,-0.025419526227445217
895728,Diego Mina,Signori Antonio,0.7961432066850924,Valon Behrami,-0.019950749253776028,Pajtim Kasami,-0.020501677782003392
897461,Tiemoko Ouattara,Josip Drmic,0.7140383272277875,Admir Mehmedi,0.7133312162511232,Valentin Stocker,0.5564398952870984
900211,Matias Hofmann,Alain Wiss,0.5275045610532634,Kastriot Imeri,0.5254801115772882,Ardon Jashari,0.5245674527223331
902107,Mahir Rizvanovic,François Affolter,0.7004258112345821,Philippe Senderos,0.53995704217119,Silvan Widmer,0.49843955242404364
902987,Mats Seiler,François Affolter,0.6579904278103463,Philippe Senderos,0.5576362917768676,Silvan Widmer,0.49881953354259384
911218,Ivan Kovacevic,François Affolter,0.6606889243019546,Philippe Senderos,0.5104087215312105,Philipp Degen,0.49654207257783195
911223,Loris Giandomenico,François Affolter,0.5781053364794273,Philipp Degen,0.5522498365278374,Philippe Senderos,0.5417506553031352
911224,Alessandro Romano,Fabian Rieder,0.6767177564795342,Pajtim Kasami,0.5745563552253596,Alain Wiss,0.5139278662291806
911244,Sebastian Walker,Fabian Rieder,0.571560937367682,Alain Wiss,0.5304386185970507,Kastriot Imeri,0.5281678830693032
911256,Nathan Heller,François Affolter,0.6025788555739676,Philipp Degen,0.550977640010852,Philippe Senderos,0.5482182519988961
922288,Davud Sylaj,François Affolter,0.6910658539495903,Nico Elvedi,0.4723791686121804,Ricardo Rodríguez,0.45316459483845417
922289,Ardonit Selimi,Fabian Rieder,0.4748652540469065,Alain Wiss,0.44837785628195503,Kastriot Imeri,0.4459686866823737
922291,Nevio Di Giusto,Fabian Rieder,0.5795425624490468,Alain Wiss,0.527949727694475,Kastriot Imeri,0.5256741059448833
922293,Loren Arifi,Johan Vonlanthen,0.46409902872373154,Alain Wiss,0.4308806737126045,Djibril Sow,0.4307537130885125
922621,Ryan Kessler,François Affolter,0.7095605940935281,Philippe Senderos,0.5300396528947937,Silvan Widmer,0.48810492289908053
922770,Sascha Meyer,Josip Drmic,0.7075550016748368,Admir Mehmedi,0.7073715418234546,Valentin Stocker,0.5166351660310924
923086,Levi Läderach,Valentin Stocker,0.6324068477306015,Josip Drmic,0.5867864314801822,Albian Ajeti,0.5815212560318693
923434,Ranjan Neelakandan,Josip Drmic,0.6932781436707854,Admir Mehmedi,0.6851835016191307,Valentin Stocker,0.5866170542159387
923809,Dircssi Ngonzo,François Affolter,0.7138298583076786,Philippe Senderos,0.561361900926153,Silvan Widmer,0.5375045742350506
925196,Samuele Tomeo,François Affolter,0.6889537914078437,Philippe Senderos,0.4935913347254382,Philipp Degen,0.4815612653388732
925199,Junior Zé,Admir Mehmedi,0.8168757172329676,Josip Drmic,0.7813739476489373,Rubén Vargas,0.49277521463902696
925200,Jamal Camcı,Josip Drmic,0.7365367329459539,Admir Mehmedi,0.7041036324704728,Valentin Stocker,0.588933245670879
925201,Dardan Destani,Blerim Dzemaili,0.5534932486075392,Johan Vonlanthen,0.42121087889392617,Alex Frei,0.41080117080287476
925212,Loris Schreiber,Philippe Senderos,0.5838728751654135,François Affolter,0.5723902753007468,Silvan Widmer,0.5296454023950103
925215,Luca Bühlmann,Fabian Rieder,0.6566924663536727,Alain Wiss,0.6133471534975282,Kastriot Imeri,0.6116745105699382
925216,Demir Xhemalija,Fabian Rieder,0.6003525104888789,Pajtim Kasami,0.4821195418625408,Alain Wiss,0.4803928934337632
925220,Cyrill Emch,Signori Antonio,0.8284675051797706,Pajtim Kasami,-0.006982791207636554,Ricardo Rodríguez,-0.016733883863022353
925223,Felix Löpfe,Signori Antonio,0.7918262968738174,Pajtim Kasami,0.01510723262968535,Fabian Rieder,-0.000812407906532406
925224,Sami Bashaj,François Affolter,0.7519459642107387,Ricardo Rodríguez,0.5857187169965709,Philippe Senderos,0.5162592284773115
925228,Eliah Jordan,François Affolter,0.7815769516721419,Ricardo Rodríguez,0.4710276752557033,Philippe Senderos,0.46742722791240715
925236,Bennett Gasser,François Affolter,0.757732021353562,Philipp Degen,0.5194251909220632,Philippe Senderos,0.4822783208060698
927353,Johan Manzambi,Fabian Rieder,0.6503249600987335,Pajtim Kasami,0.6380169533963811,Simon Sohm,0.5875288319141108
927354,Vasco Tritten,Johan Vonlanthen,0.46506553801327877,Blerim Dzemaili,0.40214899712123586,Alain Wiss,0.37480864399502817
927369,Ruben Londja,Admir Mehmedi,0.8228420404656722,Josip Drmic,0.8147760929257508,Valentin Stocker,0.4882495972727875
927407,Janis Lüthi,Admir Mehmedi,0.6460033329528813,Josip Drmic,0.6136542410661846,Rubén Vargas,0.6074167128048159
927514,Leart Zuka,François Affolter,0.5661997262066177,Philippe Senderos,0.5524598710546057,Philipp Degen,0.5269201270608972
932162,Jeremy Fasano,François Affolter,0.730425024874051,Philippe Senderos,0.47429300501768185,Philipp Degen,0.4506790718700967
932163,Gabriel Gonzalez,Josip Drmic,0.8056757044928017,Admir Mehmedi,0.7845916117411017,Valentin Stocker,0.517493389138643
932164,Jason Parente,Fabian Rieder,0.7023704182039906,Pajtim Kasami,0.5959807191207247,Alain Wiss,0.5435594664451188
932165,Kristijan Stankovic,Johan Vonlanthen,0.42317964696110677,Alain Wiss,0.39973291515617204,Kastriot Imeri,0.3983121248670233
932170,Enzo Fiechter,Valentin Stocker,0.5670145498055692,Josip Drmic,0.5450268825072644,Admir Mehmedi,0.5450140634933072
932171,Leon Grando,Fabian Rieder,0.6455878904930801,Alain Wiss,0.5885050120997797,Kastriot Imeri,0.5865473529356201
932172,Haris Kozarac,François Affolter,0.6524192023434082,Philippe Senderos,0.5286636771645115,Silvan Widmer,0.4717750759666312
932173,Maksim Milovanovic,Gelson Fernandes,0.4151486447630977,Johan Vonlanthen,0.39655741383980353,Blerim Dzemaili,0.37524479583777914
932180,Diego Poloni,François Affolter,0.697974164446198,Philippe Senderos,0.49591526521149637,Philipp Degen,0.47645781130110426
932181,Simon Rosenberg,François Affolter,0.7494816109369002,Philipp Degen,0.46519967008984264,Philippe Senderos,0.4504499787185896
